category,word,pos,frequency
全球,美國,Nc,42
全球,中國,Nc,23
全球,烏克蘭,Nc,16
全球,台灣,Nc,14
全球,關稅,Na,10
全球,川普,Nb,9
全球,威廉斯,Nb,9
全球,臉書,Na,7
全球,夥伴,Na,6
全球,政府,Na,6
全球,大阪,Nc,6
全球,遊客,Na,6
全球,世博,Nb,6
全球,白宮,Nc,5
全球,社群,Na,5
全球,媒體,Na,5
全球,哈里爾,Nb,5
全球,國家,Na,5
全球,商品,Na,5
全球,市場,Nc,5
全球,經濟,Na,5
全球,總統,Na,5
全球,全球,Nc,5
全球,總監,Na,5
全球,人士,Na,5
全球,技術,Na,5
全球,代表,Na,4
全球,國際,Nc,4
全球,工具,Na,4
全球,問題,Na,4
全球,米雷伊,Nb,4
全球,勞工,Na,4
全球,半導體,Na,4
全球,消息,Na,3
全球,戰爭,Na,3
全球,政策,Na,3
全球,聯邦,Na,3
全球,貿易,Na,3
全球,葛里爾,Nb,3
全球,中方,Na,3
全球,公司,Nc,3
全球,關係,Na,3
全球,發文,Na,3
全球,內容,Na,3
全球,國會,Nc,3
全球,城市,Na,3
全球,兒童,Na,3
全球,辦公室,Nc,3
全球,俄烏,Nc,3
全球,目標,Na,3
全球,援助,Na,3
全球,國務院,Nc,3
全球,阿根廷,Nc,3
全球,系統,Na,3
全球,班森特,Nb,3
全球,法國,Nc,3
全球,策略,Na,3
全球,副總裁,Na,3
全球,企業,Na,3
全球,廣告,Na,3
全球,日本,Nc,3
全球,交易,Na,3
全球,官方,Na,2
全球,新聞,Na,2
全球,法官,Na,2
全球,美國人,Nc,2
全球,活動,Na,2
全球,中心,Nc,2
全球,妻子,Na,2
全球,團體,Na,2
全球,孩子,Na,2
全球,行動,Na,2
全球,期間,Na,2
全球,行程,Na,2
全球,貿易戰,Na,2
全球,水平,Na,2
全球,美方,Na,2
全球,消費者,Na,2
全球,信心,Na,2
全球,指數,Na,2
全球,通膨,Na,2
全球,聽證,Na,2
全球,證人,Na,2
全球,當地,Nc,2
全球,參議院,Nc,2
全球,聽證會,Na,2
全球,官員,Na,2
全球,制度,Na,2
全球,事件,Na,2
全球,社會,Na,2
全球,北京,Nc,2
全球,異議,Na,2
全球,帳號,Na,2
全球,薩克伯格,Nb,2
全球,底線,Na,2
全球,習近平,Nb,2
全球,證詞,Na,2
全球,參議員,Na,2
全球,民眾,Na,2
全球,俄羅斯,Nc,2
全球,員工,Na,2
全球,醫院,Nc,2
全球,軍隊,Na,2
全球,烏方,Na,2
全球,費用,Na,2
全球,軍事,Na,2
全球,金融,Na,2
全球,方面,Na,2
