category,word,pos,frequency
全球,美國,Nc,9
全球,台積電,Nb,9
全球,人員,Na,8
全球,附近,Nc,6
全球,白宮,Nc,5
全球,特勤局,Nc,4
全球,中國,Nc,4
全球,男子,Na,3
全球,衝突,Na,3
全球,特勤,Na,3
全球,鴻海,Na,3
全球,密蘇里州,Nc,3
全球,人士,Na,2
全球,印度,Nc,2
全球,中心,Nc,2
全球,報告,Na,2
全球,公司,Nc,2
全球,台灣,Nc,2
全球,毛利率,Na,2
全球,員工,Na,2
全球,檢察,Na,2
全球,總長,Na,2
全球,全球,Nc,2
全球,防護,Na,2
全球,疫情,Na,2
全球,現場,Nc,1
全球,封鎖線,Na,1
全球,警車,Na,1
全球,街道,Na,1
全球,手電筒,Na,1
全球,證據,Na,1
全球,袋子,Na,1
全球,槍擊案,Na,1
全球,地點,Na,1
全球,街區,Nc,1
全球,總統,Na,1
全球,川普,Nb,1
全球,佛州,Nc,1
全球,海湖,Nc,1
全球,莊園,Na,1
全球,案發,Na,1
全球,聲明,Na,1
全球,華府,Nc,1
全球,當地,Nc,1
全球,警方,Na,1
全球,情資,Na,1
全球,印第安那州,Nc,1
全球,傾向,Na,1
全球,華盛頓,Nc,1
全球,特區,Nc,1
全球,西北,Nc,1
全球,車輛,Na,1
全球,槍械,Na,1
全球,特勤人員,Na,1
全球,事件,Na,1
全球,門前,Na,1
全球,移民,Na,1
全球,圍欄,Na,1
全球,川普去,Nb,1
全球,行程,Na,1
全球,手槍,Na,1
全球,耳朵,Na,1
全球,層面,Na,1
全球,案件,Na,1
全球,議題,Na,1
全球,華府智庫,Nc,1
全球,戰略暨,Na,1
全球,國際,Nc,1
全球,消息,Na,1
全球,白手套下,Na,1
全球,單台積電,Na,1
全球,晶片,Na,1
全球,白名單,Na,1
全球,企業,Na,1
全球,白手套,Na,1
全球,貿易戰,Na,1
全球,風暴,Na,1
全球,碩聯合,Nb,1
全球,科技,Na,1
全球,董事長,Na,1
全球,童子賢,Nb,1
全球,鄭州,Nc,1
全球,上海,Nc,1
全球,電廠,Nc,1
全球,角度,Na,1
全球,科技業,Na,1
全球,大佬,Na,1
全球,信心,Na,1
全球,加碼,Nc,1
全球,市場,Nc,1
全球,外資,Na,1
全球,交易日,Na,1
全球,散戶,Na,1
全球,大軍,Na,1
全球,股東,Na,1
全球,總數,Na,1
全球,歷史,Na,1
全球,新高,Na,1
全球,政經,Nb,1
全球,產業,Na,1
全球,研究院,Nc,1
全球,副社長,Na,1
全球,柴煥欣,Nb,1
全球,資本,Na,1
全球,支出,Na,1
全球,日本,Nc,1
全球,熊本場,Nb,1
全球,德國,Nc,1
全球,德勒斯登,Nc,1
全球,長期,Na,1
全球,影響,Na,1
全球,資金,Na,1
全球,北美子,Nc,1
全球,團體,Na,1
全球,東亞,Nc,1
全球,專家,Na,1
全球,文化,Na,1
全球,問題,Na,1
全球,難題,Na,1
全球,辦公室,Nc,1
全球,政府,Na,1
全球,病毒,Na,1
全球,訊息,Na,1
全球,地區,Nc,1
